omega,integrand
-4.000000e+01,4.947169e-02
-3.991992e+01,5.314188e-02
-3.983984e+01,5.648595e-02
-3.975976e+01,5.948116e-02
-3.967968e+01,6.210692e-02
-3.959960e+01,6.434492e-02
-3.951952e+01,6.617925e-02
-3.943944e+01,6.759654e-02
-3.935936e+01,6.858602e-02
-3.927928e+01,6.913960e-02
-3.919920e+01,6.925197e-02
-3.911912e+01,6.892061e-02
-3.903904e+01,6.814582e-02
-3.895896e+01,6.693076e-02
-3.887888e+01,6.528139e-02
-3.879880e+01,6.320651e-02
-3.871872e+01,6.071763e-02
-3.863864e+01,5.782901e-02
-3.855856e+01,5.455748e-02
-3.847848e+01,5.092242e-02
-3.839840e+01,4.694560e-02
-3.831832e+01,4.265106e-02
-3.823824e+01,3.806500e-02
-3.815816e+01,3.321556e-02
-3.807808e+01,2.813271e-02
-3.799800e+01,2.284801e-02
-3.791792e+01,1.739448e-02
-3.783784e+01,1.180633e-02
-3.775776e+01,6.118785e-03
-3.767768e+01,3.678493e-04
-3.759760e+01,-5.409910e-03
-3.751752e+01,-1.117760e-02
-3.743744e+01,-1.689824e-02
-3.735736e+01,-2.253498e-02
-3.727728e+01,-2.805137e-02
-3.719720e+01,-3.341155e-02
-3.711712e+01,-3.858053e-02
-3.703704e+01,-4.352438e-02
-3.695696e+01,-4.821047e-02
-3.687688e+01,-5.260765e-02
-3.679680e+01,-5.668653e-02
-3.671672e+01,-6.041960e-02
-3.663664e+01,-6.378143e-02
-3.655656e+01,-6.674889e-02
-3.647648e+01,-6.930125e-02
-3.639640e+01,-7.142033e-02
-3.631632e+01,-7.309066e-02
-3.623624e+01,-7.429958e-02
-3.615616e+01,-7.503730e-02
-3.607608e+01,-7.529701e-02
-3.599600e+01,-7.507495e-02
-3.591592e+01,-7.437038e-02
-3.583584e+01,-7.318568e-02
-3.575576e+01,-7.152628e-02
-3.567568e+01,-6.940070e-02
-3.559560e+01,-6.682045e-02
-3.551552e+01,-6.380002e-02
-3.543544e+01,-6.035676e-02
-3.535536e+01,-5.651083e-02
-3.527528e+01,-5.228502e-02
-3.519520e+01,-4.770467e-02
-3.511512e+01,-4.279750e-02
-3.503504e+01,-3.759346e-02
-3.495495e+01,-3.212449e-02
-3.487487e+01,-2.642442e-02
-3.479479e+01,-2.052868e-02
-3.471471e+01,-1.447413e-02
-3.463463e+01,-8.298787e-03
-3.455455e+01,-2.041648e-03
-3.447447e+01,4.257605e-03
-3.439439e+01,1.055884e-02
-3.431431e+01,1.682171e-02
-3.423423e+01,2.300594e-02
-3.415415e+01,2.907159e-02
-3.407407e+01,3.497924e-02
-3.399399e+01,4.069034e-02
-3.391391e+01,4.616740e-02
-3.383383e+01,5.137426e-02
-3.375375e+01,5.627630e-02
-3.367367e+01,6.084069e-02
-3.359359e+01,6.503661e-02
-3.351351e+01,6.883546e-02
-3.343343e+01,7.221100e-02
-3.335335e+01,7.513961e-02
-3.327327e+01,7.760041e-02
-3.319319e+01,7.957539e-02
-3.311311e+01,8.104957e-02
-3.303303e+01,8.201110e-02
-3.295295e+01,8.245134e-02
-3.287287e+01,8.236494e-02
-3.279279e+01,8.174991e-02
-3.271271e+01,8.060760e-02
-3.263263e+01,7.894275e-02
-3.255255e+01,7.676346e-02
-3.247247e+01,7.408115e-02
-3.239239e+01,7.091052e-02
-3.231231e+01,6.726945e-02
-3.223223e+01,6.317893e-02
-3.215215e+01,5.866290e-02
-3.207207e+01,5.374816e-02
-3.199199e+01,4.846419e-02
-3.191191e+01,4.284294e-02
-3.183183e+01,3.691873e-02
-3.175175e+01,3.072794e-02
-3.167167e+01,2.430885e-02
-3.159159e+01,1.770139e-02
-3.151151e+01,1.094690e-02
-3.143143e+01,4.087865e-03
-3.135135e+01,-2.832354e-03
-3.127127e+01,-9.769781e-03
-3.119119e+01,-1.668011e-02
-3.111111e+01,-2.351897e-02
-3.103103e+01,-3.024224e-02
-3.095095e+01,-3.680629e-02
-3.087087e+01,-4.316831e-02
-3.079079e+01,-4.928653e-02
-3.071071e+01,-5.512053e-02
-3.063063e+01,-6.063152e-02
-3.055055e+01,-6.578254e-02
-3.047047e+01,-7.053874e-02
-3.039039e+01,-7.486764e-02
-3.031031e+01,-7.873927e-02
-3.023023e+01,-8.212647e-02
-3.015015e+01,-8.500500e-02
-3.007007e+01,-8.735375e-02
-2.998999e+01,-8.915488e-02
-2.990991e+01,-9.039395e-02
-2.982983e+01,-9.106003e-02
-2.974975e+01,-9.114580e-02
-2.966967e+01,-9.064758e-02
-2.958959e+01,-8.956543e-02
-2.950951e+01,-8.790312e-02
-2.942943e+01,-8.566815e-02
-2.934935e+01,-8.287170e-02
-2.926927e+01,-7.952861e-02
-2.918919e+01,-7.565729e-02
-2.910911e+01,-7.127961e-02
-2.902903e+01,-6.642079e-02
-2.894895e+01,-6.110928e-02
-2.886887e+01,-5.537655e-02
-2.878879e+01,-4.925694e-02
-2.870871e+01,-4.278745e-02
-2.862863e+01,-3.600751e-02
-2.854855e+01,-2.895876e-02
-2.846847e+01,-2.168478e-02
-2.838839e+01,-1.423083e-02
-2.830831e+01,-6.643575e-03
-2.822823e+01,1.029220e-03
-2.814815e+01,8.738964e-03
-2.806807e+01,1.643656e-02
-2.798799e+01,2.407271e-02
-2.790791e+01,3.159824e-02
-2.782783e+01,3.896438e-02
-2.774775e+01,4.612311e-02
-2.766767e+01,5.302748e-02
-2.758759e+01,5.963185e-02
-2.750751e+01,6.589226e-02
-2.742743e+01,7.176670e-02
-2.734735e+01,7.721534e-02
-2.726727e+01,8.220088e-02
-2.718719e+01,8.668872e-02
-2.710711e+01,9.064725e-02
-2.702703e+01,9.404805e-02
-2.694695e+01,9.686608e-02
-2.686687e+01,9.907988e-02
-2.678679e+01,1.006717e-01
-2.670671e+01,1.016277e-01
-2.662663e+01,1.019379e-01
-2.654655e+01,1.015965e-01
-2.646647e+01,1.006017e-01
-2.638639e+01,9.895603e-02
-2.630631e+01,9.666601e-02
-2.622623e+01,9.374238e-02
-2.614615e+01,9.019998e-02
-2.606607e+01,8.605767e-02
-2.598599e+01,8.133826e-02
-2.590591e+01,7.606836e-02
-2.582583e+01,7.027828e-02
-2.574575e+01,6.400181e-02
-2.566567e+01,5.727603e-02
-2.558559e+01,5.014114e-02
-2.550551e+01,4.264020e-02
-2.542543e+01,3.481883e-02
-2.534535e+01,2.672501e-02
-2.526527e+01,1.840874e-02
-2.518519e+01,9.921767e-03
-2.510511e+01,1.317223e-03
-2.502503e+01,-7.350657e-03
-2.494494e+01,-1.602690e-02
-2.486486e+01,-2.465613e-02
-2.478478e+01,-3.318291e-02
-2.470470e+01,-4.155211e-02
-2.462462e+01,-4.970925e-02
-2.454454e+01,-5.760086e-02
-2.446446e+01,-6.517479e-02
-2.438438e+01,-7.238061e-02
-2.430430e+01,-7.916987e-02
-2.422422e+01,-8.549648e-02
-2.414414e+01,-9.131700e-02
-2.406406e+01,-9.659091e-02
-2.398398e+01,-1.012809e-01
-2.390390e+01,-1.053532e-01
-2.382382e+01,-1.087775e-01
-2.374374e+01,-1.115279e-01
-2.366366e+01,-1.135820e-01
-2.358358e+01,-1.149223e-01
-2.350350e+01,-1.155351e-01
-2.342342e+01,-1.154119e-01
-2.334334e+01,-1.145482e-01
-2.326326e+01,-1.129446e-01
-2.318318e+01,-1.106062e-01
-2.310310e+01,-1.075430e-01
-2.302302e+01,-1.037694e-01
-2.294294e+01,-9.930473e-02
-2.286286e+01,-9.417259e-02
-2.278278e+01,-8.840112e-02
-2.270270e+01,-8.202269e-02
-2.262262e+01,-7.507375e-02
-2.254254e+01,-6.759464e-02
-2.246246e+01,-5.962933e-02
-2.238238e+01,-5.122522e-02
-2.230230e+01,-4.243282e-02
-2.222222e+01,-3.330545e-02
-2.214214e+01,-2.389896e-02
-2.206206e+01,-1.427135e-02
-2.198198e+01,-4.482462e-03
-2.190190e+01,5.406430e-03
-2.182182e+01,1.533297e-02
-2.174174e+01,2.523409e-02
-2.166166e+01,3.504647e-02
-2.158158e+01,4.470686e-02
-2.150150e+01,5.415253e-02
-2.142142e+01,6.332163e-02
-2.134134e+01,7.215365e-02
-2.126126e+01,8.058975e-02
-2.118118e+01,8.857316e-02
