theta,integrand
-3.141583e+00,0.000000e+00
-3.135293e+00,0.000000e+00
-3.129004e+00,-2.122409e-217
-3.122714e+00,-3.538179e-145
-3.116425e+00,-4.761889e-109
-3.110135e+00,-2.305154e-87
-3.103846e+00,-6.662786e-73
-3.097556e+00,-1.431919e-62
-3.091267e+00,-8.080370e-55
-3.084978e+00,-8.675286e-49
-3.078688e+00,-5.815469e-44
-3.072399e+00,-5.185539e-40
-3.066109e+00,-1.018354e-36
-3.059820e+00,-6.244747e-34
-3.053530e+00,-1.534415e-31
-3.047241e+00,-1.813874e-29
-3.040951e+00,-1.183253e-27
-3.034662e+00,-4.730520e-26
-3.028372e+00,-1.257574e-24
-3.022083e+00,-2.370962e-23
-3.015794e+00,-3.337812e-22
-3.009504e+00,-3.658152e-21
-3.003215e+00,-3.229591e-20
-2.996925e+00,-2.362459e-19
-2.990636e+00,-1.465942e-18
-2.984346e+00,-7.870033e-18
-2.978057e+00,-3.717039e-17
-2.971767e+00,-1.566596e-16
-2.965478e+00,-5.964202e-16
-2.959188e+00,-2.072759e-15
-2.952899e+00,-6.635948e-15
-2.946610e+00,-1.972702e-14
-2.940320e+00,-5.483269e-14
-2.934031e+00,-1.433796e-13
-2.927741e+00,-3.546037e-13
-2.921452e+00,-8.334472e-13
-2.915162e+00,-1.869532e-12
-2.908873e+00,-4.017440e-12
-2.902583e+00,-8.298447e-12
-2.896294e+00,-1.652698e-11
-2.890004e+00,-3.182188e-11
-2.883715e+00,-5.938337e-11
-2.877426e+00,-1.076413e-10
-2.871136e+00,-1.899098e-10
-2.864847e+00,-3.267145e-10
-2.858557e+00,-5.489971e-10
-2.852268e+00,-9.024365e-10
-2.845978e+00,-1.453169e-09
-2.839689e+00,-2.295229e-09
-2.833399e+00,-3.560064e-09
-2.827110e+00,-5.428533e-09
-2.820820e+00,-8.145800e-09
-2.814531e+00,-1.203960e-08
-2.808242e+00,-1.754237e-08
-2.801952e+00,-2.521764e-08
-2.795663e+00,-3.579142e-08
